,TotalCoinsMined,TotalCoinSupply,CoinName,Class
PNX,4.5630997097805847e-05,4.9999999999999996e-05,PhantomX,0
PHO,0.030393954073733687,0.09,Photon,2
SUCR,4.271764361299468e-06,1.98e-05,Sucre,2
SPK,7.926732120684645e-06,2.1e-05,SparksPay,2
WAGE,2.7575706299068398e-05,0.00012,Digiwage,0
GUN,0.00030282962516929856,0.0005,GunCoin,2
IRL,4.594295543407392e-05,6.4e-05,IrishCoin,2
TROLL,0.0005969994384801132,0.0009,Trollcoin,0
LCP,2.5297704851289645e-06,4e-06,Litecoin Plus,0
MONK,4.451778025752022e-06,2.1e-05,Monkey Project,0
PCOIN,8.563796965572327e-06,2.3e-05,Pioneer Coin,2
UBTC,2.036988677460417e-05,2.0166e-05,UnitedBitcoin,2
ITZ,1.2037052476950459e-05,2.3e-05,Interzone,2
TPAY,2.0652578416072093e-05,2.4999999999999998e-05,TokenPay,0
MCT,1.6343529760993054e-06,1.618033e-06,1717 Masonic Commemorative Token,0
MBC,9.494351199405258e-06,3e-05,My Big Coin,0
TRTL,0.05367721313649496,1.0,TurtleCoin,2
MUN,4.867022143120781e-06,1.66e-05,MUNcoin,2
USX,0.00023722111232582548,0.000232,Unified Society USDEX,0
NBR,0.00013528682091182333,0.000336,Niobio Cash,2
SSS,0.010101125217559265,0.01,ShareChain,2
TRF,0.00010841055314609413,9.999999999999999e-05,Travelflex,2
KREDS,0.0006503062720085249,0.0011,KREDS,2
TOKC,0.00023262778644178535,0.0007999999999999999,Tokyo Coin,0
BBP,0.00179001182933328,0.0052,BiblePay,0
LCC,0.0006448379477152089,0.00084,LitecoinCash,0
FLIP,1.2571919087957276e-05,3.9999999999999996e-05,BitFlip,2
LOT,0.014637555138650792,0.01840697984,LottoCoin,2
CIF,0.00021343434893853904,0.0005,Crypto Improvement Fund,2
SPD,1.1365079253614639e-05,1.9340594e-05,Stipend,0
POA,0.00020654679617333478,0.0002524608,Poa Network,3
PUSHI,2.1897068832293194e-06,2.4999999999999998e-05,Pushi,0
ELP,4.2347288850128173e-07,6e-05,Ellerium,0
VLX,2.582854813272772e-05,0.000124,Velox,0
ONT,0.0006574303062166524,0.001,Ontology,0
CLO,0.0002501163979438093,0.0065,Callisto Network,2
TUBE,8.08585389130738e-05,0.001,BitTube,2
PSD,4.1113298508009395e-06,2.1e-05,Poseidon,2
ADK,2.525277072528041e-05,2.4999999999999998e-05,Aidos Kuneen,2
BSX,1.3927242241484136e-05,4.9999999999999996e-05,Bitspace,0
BRIA,8.5414692316889e-07,3e-06,Briacoin,0
IC,1.1940656333233882e-06,4.9999999999999996e-06,Ignition,0
BTL,7.207701869161089e-05,7e-05,Bitrolium,2
MEDIC,0.00027000068858884117,0.0005,MedicCoin,0
ALPS,2.761694076055857e-05,0.0003,Alpenschillling,2
BITG,9.902789020916682e-06,2.1e-05,Bitcoin Green,0
DEV,2.2097771981660372e-05,8.8e-05,Deviant Coin,0
ABJ,9.9803767842214e-06,3e-05,Abjcoin,0
SEM,1.2435545813658904e-06,9.999999999999999e-05,Semux,0
FTO,3.2123011865143136e-05,9.999999999999999e-05,FuturoCoin,2
CARE,0.00014115267438470172,0.00019999999999999998,Carebit,0
NZL,1.1187210463274429e-05,7.999999999999999e-05,Zealium,0
XMC,1.6178792528933295e-05,1.84e-05,Monero Classic,2
PROTON,4.448291117312275e-06,4.4999999999999996e-05,Proton,0
DEAL,0.0014183570665580888,0.00512195122,iDealCash,0
JUMP,2.12823681393255e-05,2.1e-05,Jumpcoin,2
INFX,5.149197805826263e-06,2.628e-05,Infinex,2
XBI,1.1015197390448922e-05,2.1e-05,Bitcoin Incognito,0
KEC,8.0344855378839e-07,1.8e-05,KEYCO,2
HWC,3.909819065890078e-05,2.6e-05,HollyWoodCoin,0
GIN,7.05700742826996e-06,1.05e-05,GINcoin,2
PLTC,8.511006126220963e-08,0.0006000005179999999,PlatinCoin,2
LOKI,1.934728117688423e-05,0.00015,Loki,2
NCP,0.04171211188183845,0.184,Newton Coin,2
SIC,0.010303147722758945,0.010199999999999999,Swisscoin,0
XT3,7.707116164244029e-06,4.4e-05,Xt3ch,0
MGD,0.0001372362858296267,0.000168,MassGrid,2
VIG,3.357426329493798e-05,9.999999999999999e-05,TheVig,0
PLURA,0.000565749793734985,0.001,PluraCoin,2
EMAR,2.181772113210989e-05,8.4e-05,EmaratCoin,0
DKD,3.059040366757284e-05,8.999999999999999e-05,Dekado,0
LYNX,0.0786595429746288,0.092,Lynx,2
POSQ,2.743690828304882e-06,0.00065,Poseidon Quark,0
BWS,5.8395573826824245e-05,0.000100262205,BitcoinWSpectrum,0
MUSE,1.837889033865967e-05,1.8081806e-05,Muse,0
XMN,8.207995617581074e-06,2.20757e-05,Motion,2
PLUS1,8.732790637721589e-06,2.1e-05,PlusOneCoin,2
AXE,5.043480425424593e-06,2.1e-05,Axe,2
TRVC,3.729646421313155e-05,8.2546564e-05,Trivechain,0
DTEM,7.1539706984986e-06,2.1e-05,Dystem,0
GIC,5.979308337633273e-06,5.151e-06,Giant,0
PNY,1.0525074056122004e-06,0.01688,Peony Coin,0
ABS,1.346740196225012e-05,5.25e-05,Absolute Coin,0
VITAE,6.67218067557149e-05,9.999999999999999e-05,Vitae,0
HEX,1.4309466834066776e-06,2.2105263e-05,HexCoin,2
TPC,5.458406164457927e-06,0.001,TPCash,0
WEBC,1.5737712054640045e-05,0.00175,Webchain,2
RYO,4.940313898388515e-06,8.818888799999999e-05,Ryo,2
URALS,1.4895231528171468e-05,0.00021,Urals Coin,2
QWC,0.10055984390482109,0.18447,Qwertycoin,2
ARE,1.946433093556512e-05,5.5e-05,ARENON,0
EUNO,3.108225736284029e-05,4.9999999999999996e-05,EUNO,0
MMO,0.0001088535904090006,0.00026,MMOCoin,0
